DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE,TEMP
HF011,1,WS3,Early,1,113,4/21/2001,565,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,114,4/21/2001,570,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,115,4/21/2001,575,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,116,4/21/2001,580,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,117,4/21/2001,585,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,118,4/21/2001,590,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,119,4/21/2001,595,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,120,4/21/2001,600,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,121,4/21/2001,605,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,122,4/21/2001,610,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,123,4/21/2001,615,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,124,4/21/2001,620,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,125,4/21/2001,625,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,126,4/21/2001,630,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,127,4/21/2001,635,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,128,4/21/2001,640,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,129,4/21/2001,645,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,130,4/21/2001,650,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,131,4/21/2001,655,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,132,4/21/2001,660,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,133,4/21/2001,665,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,134,4/21/2001,670,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,135,4/21/2001,675,0.01,0.33,27.5,7.4
HF011,1,WS3,Early,1,136,4/21/2001,680,0.01,0.38,27.5,7.4
HF011,1,WS3,Early,1,137,4/21/2001,685,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,138,4/21/2001,690,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,139,4/21/2001,695,0.01,0.38,27.5,7.4
HF011,1,WS3,Early,1,140,4/21/2001,700,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,141,4/21/2001,705,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,142,4/21/2001,710,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,143,4/21/2001,715,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,144,4/21/2001,720,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,145,4/21/2001,725,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,146,4/21/2001,730,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,147,4/21/2001,735,0,0.11,27.5,7.4
